看到白po不占简直是浪费资源。,A,1,,
看到敌po不炸不仅是软弱，更是失职。,C,1.5,,
只有 8 级塔才算真正的塔，低级塔只是垃圾。,A,1,,
链接多重 Field 是一种数学艺术。,A,1.5,,
能够覆盖整个城市的 BAF (Big Ass Field) 才是游戏的终极目标。,C,1,S,1
炸掉对手精心守护的成就塔让我感到无比快乐。,C,2,,
我只负责炸塔拆迁，不爱连线。,C,1.5,A,-1
我只爱连线画图，非常讨厌炸塔。,C,-1.5,A,1
为了完成任务或升级，我可以忍受暂时让敌对阵营控制这片区域。,A,-1,C,-2
跨阵营活动（XF）本质上是一种背叛行为。,C,2,S,-0.5
游戏归游戏，生活归生活，线下互不干扰是底线。,C,-1,S,-1
如果有机会通过公开数据分析对手的生活轨迹，我会为了战术优势而去做。,C,2,S,-1
游戏里的恩怨绝不应该带到现实生活中。,C,-2,,
只要能赢，开小号存物资也是合理的战术。,C,2,A,1
我严格遵守 TOS 和玩家守则，哪怕因此输掉比赛。,C,-1,A,-0.5
我喜欢做 Intel（指挥），看着大家在地图上移动。,S,2,A,1
我更喜欢当“腿”，不用动脑子，听指挥去哪就去哪。,S,1,A,-1
我经常查看区域（Cell）和全球得分榜，并为之焦虑或兴奋。,C,1.5,A,1
我不在乎 MU ，我只在乎 AP。,A,1,C,-0.5
我不在乎 AP，我只在乎这块地是不是我们阵营的颜色。,C,2,A,-0.5
看到 Portal 的照片很美，我会特意走到那里去欣赏实景。,A,-2,,
我会因为一个 Portal 的名字很有趣而特意保留它的 Key。,A,-1.5,,
这是一个残酷的抢地盘游戏，不是过家家。,C,1.5,,
这是一个步行健身软件，顺便玩个游戏。,C,-2,A,-1
这是一个增强现实的旅游指南，带我去没去过的地方。,A,-2,C,-1
我会为了游戏特意调整我的上下班通勤路线。,A,1,C,0.5
我会为了游戏成就（如拼图或活动）专门安排出国旅游。,A,1,A,-1
在路上遇到真人玩家，我会主动上前打招呼。,S,1.5,,
在路上遇到真人玩家，我会刻意躲开或假装在玩手机。,S,-1.5,,
哪怕是深夜，看到有人打我的床 Po，我也会下楼防守。,C,2,,
群组里的消息 99+ 我都会爬楼看完，生怕错过什么。,S,2,,
我屏蔽了所有的群组消息，只在大行动时才看。,S,-2,,
参加 IFS 这种社交活动比单纯刷分更有趣。,S,2,,
我在游戏里不仅为了赢，更为了认识志同道合的朋友。,S,2,,
我觉得与人面对面交流很累，更喜欢在 Comm 里潜水或隐身。,S,-1.5,,
我讨厌那些只会在 Comm 吵架的人，不管是哪边的。,S,-0.5,C,-1
我更喜欢一个人戴着耳机玩游戏，享受独处的时光。,S,-2,,
参加线下的 Mission Day 或 Anomaly 是我玩游戏的主要动力。,S,2,A,-1
如果需要建立 8 级塔，我会主动在群里摇人。,S,1.5,,
我对于加入严密的组织结构（如必须听从指挥的行动组）感到反感。,S,-1.5,,
为了配合团队的大型行动/大新闻，我愿意牺牲睡眠或个人时间。,S,2,C,1
即使在游戏中，我也很难信任从未谋面的队友。,S,-1,,
我喜欢在群组里和大家聊天吹水，哪怕不聊游戏。,S,1.5,,
